Quartier;Libellé;Largeur;Longueur;Arrondissement;Début;Fin
Javel.;rue des Frères Morane;18.0;150.0;XVe;place Étienne Pernet, 21.;rue de la Croix Nivert, 148, et rue de Javel, 165.
Grenelle.;rue du Capitaine Scott;12.0;108.0;XVe;rue Desaix, 10.;rue de la Fédération, 37.
Ternes.;rue Saussier-Leroy;12.0;182.0;XVIIe;rue Poncelet, 15.;avenue Niel, 18-22.
Porte Dauphine.;voie AZ/16;10.0;230.0;XVIe;route de la Porte des Sablons à la Porte Maillot.;boulevard Périphérique extérieur ouest.
Porte Dauphine.;rue Émile Ménier;12.0;189.0;XVIe;rue de Pomereu, 21-22.;rue des Belles Feuilles, 71-75.
Auteuil. Muette.;chemin des Réservoirs;2.0;1150.0;XVIe;route de Sèvres à Neuilly.;route de la Grande Cascade.
Porte Dauphine.;route de la Porte Dauphine à la Porte des Sablons;12.25;600.0;XVIe;place du Maréchal de Lattre de Tassigny.;route de la Porte des Sablons à la Porte Maillot.
Chaillot.;rue Paul Valéry;10.0;470.0;XVIe;avenue Kléber, 50.;avenue Foch, 27 bis.
Plaine de Monceaux.;place du Général Catroux;95.0;230.0;XVIIe;à l'intersection de l'avenue de Villiers et du boulevard Malesherbes.;
Archives.;rue du Roi Doré;10.0;59.0;IIIe;rue de Turenne, 77.;rue de Thorigny, 20.
Picpus.;avenue de l'École de Joinville;7.0;1350.0;XIIe;route de la Ferme.;avenue de Gravelle.
Halles.;rue des Bons Vivants;4.4;37.0;Ier;entre la rue Basse et la place-patio Pina Bausch d'une part et le palier de la porte Rambuteau, d'autre part, au niveau -3 du secteur Forum Central des Halles.;
Maison Blanche.;allée Marc Chagall;8.0;153.0;XIIIe;rue Gandon, 40.;avenue d'Italie, 153.
Rochechouart.;impasse de La Tour D'Auvergne;10.0;34.0;IXe;rue de la Tour d'Auvergne, 34.;
Faubourg Montmartre.;rue Papillon;9.74;110.0;IXe;rue Bleue, 2 et rue du Faubourg Poissonnière, 69.;rue Riboutté, 6 et rue de Montholon, 17.
Chaussée d'Antin. Faubourg Montmartre.;rue de la Victoire;12.0;720.0;IXe;rue La Fayette, 43.;rue Joubert, 18.
Saint-Vincent de Paul. Rochechouart.;rue de Dunkerque;12.0;1095.0;IXe,Xe;rue d'Alsace, 43.;place d'Anvers, 12, et boulevard de Rochechouart, 39.
Ternes.;rue Claude Debussy;19.0;120.0;XVIIe;esplanade du Général Casso, et boulevard Gouvion-Saint-Cyr.;boulevard de l'Yser, 3.
Epinettes.;rue Ernest Roche;15.0;260.0;XVIIe;rue du Docteur Paul Brousse, 2.;rue Pouchet, 75.
Grandes Carrières.;rue de l'Armée D'Orient;10.0;100.0;XVIIIe;rue Lepic, 68.;rue Lepic, 78.
Grandes Carrières.;rue Durantin;10.0;345.0;XVIIIe;rue Ravignan, 1 bis.;rue Lepic, 62.
Belleville.;rue de Pali-Kao;9.0;260.0;XXe;boulevard de Belleville, 76.;rue Julien Lacroix, 73.
Saint-Thomas d'Aquin.;place Saint-Thomas d'Aquin;31.0;27.0;VIIe;intersection des rues de Gribeauval et Saint-Thomas d'Aquin.;
Bel Air.;route des Chênes;5.0;380.0;XIIe;route de la Cascade.;avenue de Nogent.
Porte Saint-Martin. Porte Saint-Denis.;passage du Désir;5.0;210.0;Xe;rue du Faubourg Saint-Martin, 89.;rue du Faubourg Saint-Denis, 84.
Porte Saint-Denis.;rue Martel;9.74;155.0;Xe;rue des Petites Ecuries, 14.;rue de Paradis, 15.
Quinze-Vingts.;rue Chrétien de Troyes;7.0;205.0;XIIe;rue de Rambouillet, 7.;avenue Daumesnil, 68.
Gare.;rue Dieudonné Costes;8.0;115.0;XIIIe;avenue de la Porte d'Ivry, 43.;rue Émile Levassor, 9.
Gare.;voie DX/13;7.0;40.0;XIIIe;quai d'Ivry.;rue Jean-Baptiste Berlier.
Croulebarbe.;rue Saint-Hippolyte;11.7;250.0;XIIIe;rue Pascal, 42.;rue de la Glacière, 9.
Gare.;rue Lahire;12.0;140.0;XIIIe;place Jeanne d'Arc, 33.;rue Clisson, 79 et place Nationale, 116.
Auteuil.;rue d'Auteuil;20.0;732.0;XVIe;rue Verderet, 2 et avenue Théophile Gautier, 68.;boulevard Murat, 1, et boulevard Suchet.
Combat.;avenue Moderne;18.05;22.0;XIXe;rue du Rhin, 21.;en impasse
Combat.;voie R/19;4.5;38.0;XIXe;rue de l'Atlas, 18.;en impasse
Amérique.;rue Louise Thuliez;18.0;100.0;XIXe;rue Compans, 48.;rue Henri Ribière, 19 et rue des Lilas, 1.
Javel.;voie CB/15;10.0;400.0;XVe;boulevard Périphérique extérieur est.;voie BR/15.
Saint-Lambert.;rue Alain Chartier;10.0;190.0;XVe;rue Blomet, 149 bis.;rue de la Convention, 189.
Javel.;rue François Coppée;15.05;104.0;XVe;avenue Félix Faure, 47.;en impasse au-delà de la rue de Plélo.
Saint-Lambert.;rue Léon Delagrange;12.0;62.0;XVe;boulevard Victor, 37.;en impasse
Saint-Ambroise.;rue Condillac;12.0;75.0;XIe;avenue de la République, 99.;rue des Nanettes, 8.
Sainte-Marguerite.;rue Gonnet;7.8;115.0;XIe;rue du Faubourg Saint-Antoine, 285.;rue de Montreuil, 60.
Saint-Ambroise.;rue du Général Guilhem;12.0;232.0;XIe;rue du Chemin Vert, 95.;rue Saint-Ambroise, 24.
Quinze-Vingts.;place d'Aligre;70.0;115.0;XIIe;rue de Cotte, 10.;rue Beccaria, 25.
Bercy.;rue Paul Belmondo;20.0;275.0;XIIe;rue Joseph Kessel, 29.;place Léonard Bernstein.
Bel Air.;avenue de Fontenay;18.0;400.0;XIIe;La Porte Jaune.;avenues de la Dame Blanche et de la Belle Gabrielle (Fontenay-sous-Bois).
Combat.;rue Legrand;10.0;33.0;XIXe;rue Burnouf, 12.;avenue Simon Bolivar, 83.
Porte Dauphine.;villa de la Faisanderie;5.6;90.0;XVIe;rue de la Faisanderie, 26.;boulevard Flandrin, 88.
Vivienne.;rue Lulli;12.0;38.0;IIe;rue Rameau, 2.;rue de Louvois, 1.
Archives.;rue du Perche;10.0;105.0;IIIe;rue Vieille du Temple, 107.;rue Charlot, 6 ter-8.
Enfants Rouges. Archives. Sainte-Avoye. Saint-Merri. Saint-Gervais.;rue des Archives;15.0;900.0;IIIe,IVe;rue de Rivoli, 50.;rue de Bretagne, 51.
Maison Blanche.;square des Peupliers;3.0;142.0;XIIIe;rue du Moulin des Prés, 72.;en impasse
Montparnasse.;passage d'Enfer;10.0;160.0;XIVe;rue Campagne Première, 21.;boulevard Raspail, 247.
Grenelle.;rue Frémicourt;24.0;370.0;XVe;rue du Commerce, 37, et rue Fondary, 61.;place Cambronne, 1.
Petit Montrouge.;rue Montbrun;10.0;170.0;XIVe;rue Rémy Dumoncel, 39 et passage Montbrun, 1.;rue d'Alésia, 30.
Petit Montrouge.;passage Montbrun;12.0;160.0;XIVe;rue Montbrun, 2 et rue Rémy Dumoncel, 41.;en impasse au-delà de la villa d'Orléans.
Plaisance.;passage de la Tour de Vanves;3.8;120.0;XIVe;avenue du Maine, 146.;rue Asseline, 7.
Combat.;rue de l'Atlas;12.0;290.0;XIXe;rue Rébeval, 1.;avenue Simon Bolivar, 67.
Maison Blanche.;place de l'Abbé Georges Hénocque;0.0;0.0;XIIIe;intersection de rue des Peupliers, rue du Docteur Leray, rue Henri Pape, rue Charles Fourier, et rue de la Colonie.;
Halles.;rue de l'Orient Express;4.8;44.0;Ier;au palier de la porte Lescot du niveau -4 du secteur Forum Central des Halles.;en impasse.
Place Vendôme.;rue Gomboust;10.0;60.0;Ier;rue Saint-Roch, 57.;place du Marché Saint-Honoré, 38.
Halles.;rue du Jour;12.0;127.0;Ier;rue Coquillière, 2, et rue Rambuteau.;rue Montmartre, 9.
Saint-Germain l'Auxerrois.;port des Tuileries;7.0;740.0;Ier;pont Royal.;à la rampe amont du pont de la Concorde.
Saint-Victor.;rue des Fossés Saint-Bernard;13.0;283.0;Ve;quai Saint-Bernard et boulevard Saint-Germain, 1.;rue Jussieu.
Val de Grâce.;rue Erasme;20.0;130.0;Ve;rue Rataud.;rue d'Ulm, 31.
Bercy.;voie CH/12;5.0;10.0;XIIe;voie Georges Pompidou.;quai de Bercy.
Gare.;rue Valéry Larbaud;5.0;60.0;XIIIe;rue Abel Gance.;rue George Balanchine.
Gros Caillou.;rue Augereau;12.0;218.0;VIIe;rue Saint-Dominique, 139.;rue de Grenelle, 214.
Ecole Militaire.;place Denys Cochin;0.0;0.0;VIIe;intersection des avenues de Lowendal et de Tourville et du boulevard de La Tour-Maubourg.;
Petit Montrouge.;rue Marguerin;12.0;95.0;XIVe;rue d'Alésia, 71.;rue Adolphe Focillon, 10, et rue Leneveux, 2.
Hôpital Saint-Louis.;rue Albert Camus;14.0;83.0;Xe;place du Colonel Fabien, 7.;place Robert Desnos.
Clignancourt.;rue du Cardinal Guibert;10.0;55.0;XVIIIe;parvis du Sacré-Coeur.;rue du Chevalier de la Barre, 37.
Clignancourt.;rue du Nord;5.0;235.0;XVIIIe;rue des Poissonniers, 97.;rue de Clignancourt, 114.
Belleville.;passage Plantin;1.0;80.0;XXe;rue du Transvaal, 16.;rue des Couronnes, 81.
Père Lachaise.;rue des Plâtrières;9.0;175.0;XXe;rue des Amandiers, 104.;rue Sorbier, 16.
Saint-Fargeau.;passage Boudin;3.0;114.0;XXe;rue Alphonse Penaud, 38.;rue de la Justice, 20.
Père Lachaise.;voie BX/20;4.5;17.0;XXe;rue Pierre Bayle, 4.;en impasse.
Saint-Fargeau.;rue des Frères Flavien;20.0;500.0;XXe;rue Léon Frapié, 15.;avenue de la Porte des Lilas.
Saint-Fargeau.;rue Pierre Foncin;18.0;110.0;XXe;boulevard Mortier, 100.;rue des Fougères, 5.
Goutte d'Or.;allée d'Andrézieux;5.0;250.0;XVIIIe;rue des Poissonniers, 90.;en impasse
Clignancourt.;rue du Chevalier de la Barre;8.0;413.0;XVIIIe;rue Ramey, 9.;rue du Mont Cenis, 8.
Grandes Carrières.;voie BU/18;10.0;150.0;XVIIIe;boulevard Périphérique extérieur est.;avenue de la Porte de Saint-Ouen.
Muette.;rue Eugène Labiche;12.0;115.0;XVIe;boulevard Jules Sandeau, 27.;rue Octave Feuillet, 28.
Muette.;voie M/16;12.0;42.0;XVIe;avenue Vion-Whitcomb, 8.;en impasse
Chaillot.;avenue Gustave V de Suède;15.0;150.0;XVIe;place de Varsovie.;au palais de Chaillot.
Chaillot.;rue Yvon Villarceau;12.0;90.0;XVIe;rue Copernic, 37.;rue Boissière, 64.
Chaillot.;place de Tokyo;40.0;150.0;XVIe;rues de Galliera et Gaston de Saint-Paul.;rues Brignole et de la Manutention.
Batignolles. Epinettes.;rue Brochant;20.0;364.0;XVIIe;place Charles Fillion, 16.;avenue de Clichy, 127.
Necker.;square Charles Laurent;11.0;190.0;XVe;rue Cambronne, 71.;rue Lecourbe, 102.
Sainte-Marguerite.;voie B/11;10.0;57.0;XIe;rue de Charonne, 144.;en impasse.
Picpus.;cour d'Alsace-Lorraine;4.0;144.0;XIIe;rue de Reuilly, 67.;en impasse
Bel Air.;route des Dames;6.0;600.0;XIIe;route du Grand Prieur.;route du Grand Maréchal.
Picpus.;voie DG/12;6.0;150.0;XIIe;avenue du Tremblay.;autoroute A4.
Bel Air.;boulevard de la Guyane;24.0;1100.0;XIIe;avenue Daumesnil.;avenue Courteline, 34.
Chaillot.;rue Debrousse;12.0;84.0;XVIe;avenue de New York, 8.;avenue du Président Wilson, 5.
Quinze-Vingts.;voie P/12;1.5;63.0;XIIe;rue de Charenton, 74.;en impasse.
Bel Air.;avenue Maurice Ravel;23.0;120.0;XIIe;avenue Émile Laurent, 15.;rue Jules Lemaître, 10 et avenue Vincent d'Indy.
Auteuil.;quai Saint-Exupéry;18.0;630.0;XVIe;boulevard Murat.;quai du point du Jour, à la limite du territoire de Boulogne-Billancourt.
Gare.;avenue d'Ivry;34.0;791.0;XIIIe;boulevard Masséna, 78.;avenue de Choisy, 116, et rue de Tolbiac, 133.
Salpêtrière.;quai d'Austerlitz;24.5;901.0;XIIIe;boulevard Vincent Auriol, 2, et pont de Bercy.;place Valhubert, 1, et pont d'Austerlitz.
Europe.;rue de Saint-Pétersbourg;15.0;490.0;VIIIe;place de l'Europe-Simone Veil.;place de Clichy, 3, et boulevard des Batignolles, 5.
Madeleine. Chaussée d'Antin.;rue Vignon;12.0;330.0;VIIIe,IXe;boulevard de la Madeleine, 14.;rue Tronchet, 26.
Porte Saint-Martin.;rue de Lancry;15.0;540.0;Xe;rue René Boulanger, 50.;quai de Valmy, 83.
Hôpital Saint-Louis.;impasse Sainte-Marthe;6.0;40.0;Xe;rue Sainte-Marthe, 22-32.;
Saint-Vincent de Paul.;rue de Saint-Quentin;20.0;250.0;Xe;boulevard de Magenta, 92.;rue de Dunkerque, 17.
Saint-Vincent de Paul.;rue de Rocroy;12.0;300.0;Xe;rue d'Abbeville, 8.;boulevard de Magenta, 133.
Gare.;rue Germaine Richier;;;XIIIe;avenue de France, 141.;promenade Claude Levis-Strauss.
Place Vendôme.;rue d'Alger;10.0;128.0;Ier;rue de Rivoli, 214.;rue Saint-Honoré, 219.
Saint-Germain l'Auxerrois.;rue de l'Amiral De Coligny;20.0;200.0;Ier;quai du Louvre, 30.;rue de Rivoli, 91.
Saint-Germain l'Auxerrois.;rue Édouard Colonne;15.0;35.0;Ier;quai de la Mégisserie, 2 ter.;rue Saint-Germain l'Auxerrois, 1 et avenue Victoria, 25.
Plaine de Monceaux.;rue du Marquis d'Arlandes;4.0;60.0;XVIIe;avenue Brunetière, 12.;boulevard de reims, 11.
Palais Royal.;passage de Valois;3.5;9.0;Ier;rue de Valois, 5.;péristyle de Valois.
Saint-Victor.;rue des Chantiers;12.0;78.0;Ve;rue des Fossés Saint-Bernard, 6.;rue du Cardinal Lemoine, 5.
Notre-Dame des Champs.;rue Vavin;10.0;375.0;VIe;rue d'Assas, 76.;boulevard du Montparnasse, 99.
Gros Caillou.;passage Landrieu;12.0;234.0;VIIe;rue de l'Université, 169.;rue Saint-Dominique, 100.
Croulebarbe.;rue des Reculettes;15.0;240.0;XIIIe;rue Abel Hovelacque, 34.;rue de Croulebarbe, 47-51.
Maison Blanche. Parc de Montsouris.;rue de l'Amiral Mouchez;24.0;810.0;XIIIe,XIVe;place Coluche.;boulevard Kellermann, 108 et boulevard Jourdan, 2.
Necker.;villa Gabriel;4.2;138.0;XVe;rue Falguière, 9.;en impasse
Plaisance.;rue de l'Ouest;10.0;925.0;XIVe;avenue du Maine, 92.;rue d'Alésia, 180.
Plaisance.;place de la Porte de Vanves;0.0;0.0;XIVe;intersection du boulevard Brune, de l'avenue Marc Sangnier, et de la Porte de Vanves et de la rue Julia Bartet.;
Combat.;villa de l'Adour;2.6;104.0;XIXe;rue de la Villette, 13.;rue Mélingue, 14.
Vivienne.;rue des Petits Pères;15.0;80.0;IIe;rue de la Banque, 2 et rue La Feuillade, 6.;place des Petits Pères et rue Vide-Gousset, 1.
Arts et Métiers. Sainte-Avoye.;rue des Gravilliers;12.0;375.0;IIIe;rue du Temple, 119.;rue Saint-Martin, 248 et rue de Turbigo, 38.
Saint-Georges.;rue de Parme;12.0;91.0;IXe;rue de Clichy, 59.;rue d'Amsterdam, 78.
Grandes Carrières.;passage Ganneron;2.0;146.0;XVIIIe;avenue de Saint-Ouen, 42.;rue Ganneron, 57.
Chapelle.;impasse Marteau;8.0;305.0;XVIIIe;avenue de la Porte de la Chapelle.;
Grandes Carrières.;villa Vauvenargues;4.0;61.0;XVIIIe;rue Leibniz, 82.;en impasse
Charonne.;square des Cardeurs;50.0;50.0;XXe;rue Saint-Blaise, 41.;en impasse
Charonne.;voie EG/20;10.0;130.0;XXe;place de la Porte de Montreuil.;boulevard Périphérique extérieur est.
Saint-Fargeau.;voie EP/20;8.0;30.0;XXe;limite du territoire de Paris.;avenue Ibsen.
Charonne.;rue de la Plaine;10.0;607.0;XXe;boulevard de Charonne, 22.;rue des Maraîchers, 31.
Saint-Fargeau.;avenue de la Porte de Ménilmontant;40.0;110.0;XXe;boulevard Mortier, 94.;rues le Vau, 33 et des Fougères, 1.
Saint-Thomas d'Aquin.;allée Christian Pineau;8.0;119.0;VIIe;rue du Bac.;rue de Luynes.
Gare.;rue Albert Einstein;18.0;180.0;XIIIe;boulevard du Général Jean Simon, 30.;rue Alice Domon et Léonie Duquet.
Arts et Métiers. Enfants Rouges. Porte Saint-Martin. Folie-Méricourt.;esplanade André Tollet;0.0;0.0;IIIe,Xe,XIe;partie centrale de la place de la République.;
Villette.;passage de Flandre;9.0;122.0;XIXe;avenue de Flandre, 48.;quai de la Seine, 47.
Combat.;voie P/19;2.5;55.0;XIXe;rue Clavel, 26.;en impasse.
Necker.;rue Dalou;5.2;150.0;XVe;rue de Vaugirard, 169.;rue Falguière, 42.
Porte Dauphine.;villa Herran;6.0;100.0;XVIe;rue de la Pompe, 81.;en impasse
Muette.;avenue du Général Mangin;15.0;185.0;XVIe;rue d'Ankara, 7.;rue du Docteur Germain Sée, 14.
Auteuil.;rue du Capitaine Olchanski;11.1;70.0;XVIe;avenue Mozart, 126.;rue de la Mission Marchand, 2.
Muette.;rue Le Tasse;12.0;133.0;XVIe;rue Benjamin Franklin, 20.;en impasse
Muette.;rue Bois Le Vent;8.0;270.0;XVIe;rue Duban, 17, et place de Passy, 2.;avenue Mozart, 7.
Batignolles.;voie AV/17;10.0;130.0;XVIIe;boulevard Périphérique extérieur ouest.;avenue de la Porte d'Asnières.
Epinettes.;rue Navier;12.5;450.0;XVIIe;avenue de Saint-Ouen, 121.;rue Pouchet, 66.
Plaine de Monceaux.;rue Sisley;12.0;100.0;XVIIe;boulevard Berthier, 106.;avenue de la Porte d'Asnières, 5.
Grandes Carrières.;villa Championnet;6.0;55.0;XVIIIe;rue Championnet, 198.;en impasse
Chapelle.;rue Cugnot;10.0;280.0;XVIIIe;rue de Torcy, 2.;place Hébert, 1.
Javel.;rue Ernest Hemingway;21.0;100.0;XVe;rue Leblanc, 64.;boulevard du Général Martial Valin, 49.
Saint-Lambert.;rue de Montebello;12.0;48.0;XVe;rue Chauvelot, 5 bis.;en impasse
Ternes.;passage Poncelet;3.5;90.0;XVIIe;rue Poncelet, 27.;rue Laugier, 12.
Saint-Thomas d'Aquin.;rue de Saint-Simon;12.0;147.0;VIIe;boulevard Saint-Germain, 213 bis-215.;rue de Grenelle, 90.
Saint-Thomas d'Aquin.;rue Velpeau;18.0;100.0;VIIe;rue de Babylone, 1.;rue de Sèvres.
Ecole Militaire. Necker.;avenue de Breteuil;70.0;840.0;VIIe,XVe;place Vauban, 7.;boulevard Garibaldi, 69, et rue de Sèvres, 114.
Ecole Militaire. Necker.;avenue de Saxe;39.2;680.0;VIIe,XVe;place de Fontenoy, 3.;rue de Sèvres, 100.
Folie-Méricourt.;cité de Crussol;3.5;156.0;XIe;rue Oberkampf, 7.;rue de Crussol, 10.
Hôpital Saint-Louis.;rue du Buisson Saint-Louis;13.0;302.0;Xe;rue Saint-Maur, 192.;boulevard de la Villette, 25.
Jardin des Plantes.;rue Larrey;15.0;253.0;Ve;rue Daubenton, 18.;rue Monge, 75 bis.
Notre-Dame des Champs.;rue Cassette;10.0;290.0;VIe;rue de Rennes, 71.;rue de Vaugirard, 66.
Odéon.;rue de Montfaucon;12.5;47.0;VIe;place d'Acadie.;rue Clément, 8.
Invalides.;place Jacques Bainville;20.0;52.0;VIIe;boulevard Saint-Germain, 229.;rue Saint-Dominique, 6.
Invalides.;rue de Bourgogne;10.0;580.0;VIIe;place du Palais Bourbon, 8.;rue de Varenne, 84.
Ecole Militaire.;voie F/7;3.0;64.0;VIIe;rue Vaneau, 76.;rue Pierre Leroux, 15.
Père Lachaise.;rue Laurence Savart;10.0;153.0;XXe;rue Boyer, 16.;rue du Retrait, 19.
Montparnasse.;place Joséphine Baker;0.0;0.0;XIVe;angle de la rue Poinsot, rue Jolivet, et boulevard Edgar Quinet.;
Salpêtrière.;place Augusta Holmes;0.0;0.0;XIIIe;quai d'Austerlitz, 29.;rue Paul Klee, 14.
Gare.;place Robert Antelme;0.0;0.0;XIIIe;rue des Grands Moulins, 36.;avenue de France, 82.
Saint-Fargeau.;rue Antoinette Fouque;15.0;85.0;Xxe;avenue Gambetta, 148.;boulevard Mortier, 167.
Muette.;Rond des Mélèzes;0.0;0.0;XVIe;allée Saint-Denis.;
Grandes Carrières.;rue Eugène Carrière;12.0;500.0;XVIIIe;rue Joseph de Maistre, 44, et rue Tourlaque, 22 ter.;rue Vauvenargues, 15.
Ternes.;voie BE/17;8.0;180.0;XVIIe;voie BF/17.;boulevard Périphérique intérieur ouest.
Grenelle.;rue de Presles;10.0;190.0;XVe;avenue de Suffren, 58.;place Dupleix, 8.
Muette.;route de la Longue Queue;0.0;1400.0;XVIe;carrefour de Longchamp.;route du Champ d'Entrainement.
Salpêtrière.;place des Alpes;0.0;0.0;XIIIe;boulevard Vincent Auriol, à la rencontre des rues Godefroy et Fagon et de l'avenue Stéphen Pichon.;
Maison Blanche.;rue de l'Interne Loëb;15.0;183.0;XIIIe;rue du Docteur Lucas-Championnière, rue du Docteur Landouzy, et place Jean Delay.;en impasse au-delà de la rue du Docteur Tuffier.
Archives. Saint-Gervais.;place Monique Antoine;;;IIIe,Ive;à l'intersection des rues Vieille du Temple et des Francs Bourgeois.;
Goutte d'Or.;voie BL/18;10.0;230.0;XVIIIe;autoroute A1.;boulevard Périphérique extérieur est.
Batignolles. Epinettes.;rue La Condamine;8.0;680.0;XVIIe;avenue de Clichy, 73.;rue Dulong, 12.
Plaine de Monceaux.;rue Daubigny;12.0;250.0;XVIIe;rue Cardinet, 77.;rue Cernuschi, 6.
Plaine de Monceaux.;square de Vaucluse;18.0;50.0;XVIIe;avenue Brunetière, 23.;en impasse
Grandes Carrières.;allée des Brouillards;2.0;42.0;XVIIIe;place Dalida.;place Casadesus, 4.
Gare.;rue Yéo Thomas;10.0;168.0;XIIIe;rue Nationale, 151.;rue du Château des Rentiers, 196.
Charonne.;rue de Terre Neuve;12.0;316.0;XXe;boulevard de Charonne, 106.;rue Alexandre Dumas, 106 et place de la Réunion.
Charonne.;impasse Satan;3.8;50.0;XXe;rue des Vignoles, 92.;
Muette, Porte Dauphine.;allée Pierre-Christian Taittinger;10.0;315.0;XVIe;terre-plein central de l'avenue Henri Martin, commençant au droit de la rue de la Pompe et finissant au droit de la place Tattegrain.;
Saint-Ambroise.;impasse Amelot;3.5;65.0;XIe;rue Amelot, 62.;en impasse.
Folie-Méricourt.;rue des Trois Couronnes;10.0;98.0;XIe;rue Saint-Maur, 120.;rue Morand, 1.
Saint-Ambroise.;rue Crespin Du Gast;12.0;190.0;XIe;rue Oberkampf, 148.;passage de Ménilmontant, 21.
Saint-Ambroise.;rue Pihet;7.0;70.0;XIe;passage Beslay, 9.;rue du Marché Popincourt, 10.
Epinettes.;avenue de la Porte Pouchet;30.0;85.0;XVIIe;boulevard Bessières, 44.;place Arnault Tzanck.
Père Lachaise.;rue Malte Brun;10.0;150.0;XXe;rue Émile Landrin, 17.;avenue Gambetta, 36.
Batignolles.;square Emmanuel Chabrier;6.5;54.0;XVIIe;square Fernand de la Tombelle.;en impasse
Batignolles.;square Paul Paray;42.0;62.0;XVIIe;rue de Saussure, 136.;en impasse
Plaine de Monceaux.;rue de Prony;20.0;825.0;XVIIe;place de la République Dominicaine, 6.;avenue de Villiers, 103.
Ternes.;rue Ruhmkorff;12.0;148.0;XVIIe;boulevard Gouvion-Saint-Cyr, 47.;boulevard Gouvion-Saint-Cyr, 55.
Ternes.;avenue de la Porte des Ternes;35.0;220.0;XVIIe;place du Général Koenig.;avenue du Roule à la limite du territoire de Neuilly-sur-Seine.
Clignancourt.;passage des Abbesses;4.0;99.0;XVIIIe;rue des Abbesses, 22.;rue des Trois Frères, 57.
Clignancourt.;rue Bachelet;10.0;140.0;XVIIIe;rue Nicolet, 18.;rue Becquerel, 1, et rue Lambert, 29.
Clignancourt.;rue Briquet;5.25;76.0;XVIIIe;boulevard de Rochechouart, 66.;rue d'Orsel, 27.
Croulebarbe.;place Claude Bourdet;11.0;20.0;XIIIe;au carrefour de rue Corvisart, rue Pascal, rue des Cordelières, rue Vulpian, et rue du Champ de l'Alouette.;
Pont de Flandre.;rue Delphine Seyrig;12.0;200.0;XIXe;route des Petits Ponts, 45 et avenue du Général Leclerc (Pantin).;berge du canal de l'Ourcq.
Belleville.;villa des Trois Couronnes;3.0;115.0;XXe;boulevard de Belleville, 62.;rue de Pali-Kao, 18 et rue Francis Picabia, 5.
Belleville.;rue Lemon;9.0;50.0;XXe;boulevard de Belleville, 120.;rue Dénoyez, 9.
Belleville.;rue Levert;8.0;355.0;XXe;place Henri Krasucki.;rue Olivier Métra, 67 et rue de Belleville, 174.
Belleville.;rue de l'Élysée Ménilmontant;10.0;81.0;XXe;rue Julien Lacroix, 8.;en impasse
Belleville. Saint-Fargeau. Père Lachaise.;rue de Ménilmontant;13.7;1230.0;XXe;boulevard de Belleville, 2 et boulevard de Ménilmontant, 152.;rue Pelleport, 105.
Amérique.;villa des Lilas;3.0;67.0;XIXe;rue de Mouzaïa, 36.;rue de Bellevue, 21.
Bel Air.;rue du Colonel Oudot;10.0;200.0;XIIe;avenue Daumesnil, 271.;boulevard Soult, 25.
Gare.;rue Cantagrel;12.0;470.0;XIIIe;rue du Chevaleret, 11.;rue de Patay, 92, et rue de Tolbiac, 45.
Pont de Flandre.;terrasse du Parc;0.0;0.0;XIXe;boulevard Macdonald, 83.;
Chaussée d'Antin. Faubourg Montmartre. Rochechouart. Saint-Vincent de Paul. Porte Saint-Denis. Hôpit;rue La Fayette;20.0;2830.0;IXe,Xe;rue de la Chaussée d'Antin, 38 et boulevard Haussmann, 36 bis.;place de la Bataille de Stalingrad, 1 et quai de Valmy, 205.
Sur le territoire de Vincennes.;avenue du Maréchal Fayolle;10.0;100.0;Limitrophe;avenue Foch (Vincennes).;avenue de la Dame Blanche (Vincennes).
